m_1;;m_2;;diff 1-2;;m_3 9.942;;diff 1-3;;diff 2-3
0,625391812;;0,6243910;;0,0010008;;0,6414241;;-0,0160323;;-0,0170331
0,823752909;;0,8423435;;-0,0185906;;0,8252220;;-0,0014691;;0,0171215
0,525286751;;0,5453939;;-0,0201072;;0,5502812;;-0,0249944;;-0,0048872
1,023069216;;0,9946801;;0,0283891;;1,0307833;;-0,0077140;;-0,0361032
0,919882751;;0,9531448;;-0,0332620;;0,9559345;;-0,0360518;;-0,0027898
0,750193708;;0,8074047;;-0,0572110;;0,7254102;;0,0247835;;0,0819944
0,433870326;;0,4864441;;-0,0525738;;0,5457909;;-0,1119205;;-0,0593468
1,297496265;;1,2864340;;0,0110622;;1,2686857;;0,0288105;;0,0177483
1,245641665;;1,2578611;;-0,0122194;;1,2390659;;0,0065758;;0,0187951
1,259918725;;1,2260113;;0,0339074;;1,2217479;;0,0381708;;0,0042634
1,042427267;;1,1733226;;-0,1308953;;1,2110914;;-0,1686641;;-0,0377688
0,96914805;;0,9939664;;-0,0248184;;0,9909533;;-0,0218053;;0,0030131
0,98643391;;0,9718752;;0,0145587;;0,9774092;;0,0090247;;-0,0055340
0,616981696;;0,8534736;;-0,2364920;;0,8805009;;-0,2635192;;-0,0270273
0,423246775;;0,3556828;;0,0675640;;0,3850762;;0,0381706;;-0,0293934
1,271522496;;1,3161211;;-0,0445986;;1,2867486;;-0,0152261;;0,0293725
1,157823969;;1,2582493;;-0,1004253;;1,2155488;;-0,0577248;;0,0427005
1,251573514;;1,2489272;;0,0026463;;1,1748708;;0,0767027;;0,0740564
1,191712344;;1,1771950;;0,0145174;;1,1206271;;0,0710852;;0,0565679
1,22875723;;1,2467257;;-0,0179685;;1,2155952;;0,0131621;;0,0311306
1,201152475;;1,2563018;;-0,0551494;;1,2345779;;-0,0334255;;0,0217239
1,459577965;;1,2226131;;0,2369649;;1,2627330;;0,1968450;;-0,0401199
1,441515115;;1,1969403;;0,2445748;;1,2019989;;0,2395162;;-0,0050586
1,706425748;;1,5889488;;0,1174770;;1,6407396;;0,0656861;;-0,0517908
1,66801986;;1,5799312;;0,0880887;;1,6386123;;0,0294075;;-0,0586812
1,578059265;;1,5712461;;0,0068131;;1,6190052;;-0,0409460;;-0,0477591
1,572392113;;1,5122740;;0,0601181;;1,5502070;;0,0221852;;-0,0379330
1,167450166;;1,6532744;;-0,4858242;;1,7178834;;-0,5504332;;-0,0646090
1,085749865;;1,5139307;;-0,4281808;;1,5813790;;-0,4956291;;-0,0674483
0,719183655;;0,6490141;;0,0701695;;0,8048378;;-0,0856542;;-0,1558237
0,728437046;;0,4713289;;0,2571081;;0,4874451;;0,2409919;;-0,0161162
1,295719707;;1,2685011;;0,0272186;;1,5002717;;-0,2045520;;-0,2317705
1,647521789;;1,5206123;;0,1269095;;1,5816701;;0,0658517;;-0,0610578
1,748890085;;0,9624798;;0,7864103;;1,4061911;;0,3426990;;-0,4437113
1,200509503;;1,1075300;;0,0929795;;1,2697198;;-0,0692103;;-0,1621898
1,038577821;;1,2093935;;-0,1708157;;1,5396588;;-0,5010809;;-0,3302653
1,777740118;;1,0535447;;0,7241954;;1,3752225;;0,4025176;;-0,3216778
1,92135761;;1,3486169;;0,5727407;;1,4234857;;0,4978719;;-0,0748688
1,440318784;;1,4583050;;-0,0179862;;1,2957484;;0,1445704;;0,1625566
1,035932159;;1,5082378;;-0,4723057;;1,4297182;;-0,3937860;;0,0785196
1,618813422;;1,5270282;;0,0917852;;1,3139066;;0,3049068;;0,2131216
1,27165435;;1,0994298;;0,1722246;;1,3110186;;-0,0393642;;-0,2115888
1,165554382;;1,0221228;;0,1434316;;1,3437992;;-0,1782448;;-0,3216765
1,18806421;;1,5323599;;-0,3442957;;1,0743393;;0,1137249;;0,4580206
1,365927313;;1,3663761;;-0,0004488;;0,9721107;;0,3938167;;0,3942654
1,912740383;;1,3150326;;0,5977077;;1,1109488;;0,8017916;;0,2040838
1,497623896;;1,5734298;;-0,0758059;;1,2020194;;0,2956045;;0,3714104
1,543564255;;1,7624423;;-0,2188780;;1,4254044;;0,1181599;;0,3370379
1,645337422;;1,7021955;;-0,0568581;;1,5276140;;0,1177235;;0,1745816
1,69830115;;1,3255111;;0,3727900;;1,4970241;;0,2012771;;-0,1715130
1,653938771;;1,3311492;;0,3227896;;1,7012112;;-0,0472724;;-0,3700620
1,423432607;;1,2516107;;0,1718219;;1,6814591;;-0,2580265;;-0,4298483
1,479025334;;1,4150550;;0,0639703;;1,5448921;;-0,0658668;;-0,1298371
1,306420645;;1,4349178;;-0,1284972;;1,6003935;;-0,2939729;;-0,1654757
1,377181519;;1,5306359;;-0,1534544;;1,5170081;;-0,1398266;;0,0136278
0,944338515;;1,8561194;;-0,9117809;;1,5283434;;-0,5840048;;0,3277761
2,514301386;;1,6750420;;0,8392594;;1,3487060;;1,1655954;;0,3263360
2,465383468;;2,1294292;;0,3359542;;1,5618315;;0,9035519;;0,5675977
0,966699549;;1,8395359;;-0,8728363;;1,7807226;;-0,8140230;;0,0588133
1,837991078;;1,1963876;;0,6416034;;0,9585149;;0,8794762;;0,2378727
1,119374077;;1,1712091;;-0,0518350;;1,3000321;;-0,1806581;;-0,1288230
1,70089642;;1,2627392;;0,4381573;;0,9020679;;0,7988285;;0,3606712
1,264779008;;0,3512151;;0,9135639;;0,1773141;;1,0874649;;0,1739010
